	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;3M1PL1-52 termite group	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;COB P4-1 termite group	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;CR-115	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;M2PB4-65 termite group	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinifilaceae	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinilabiliaceae	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Paludibacteraceae	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;PeH15	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Williamwhitmaniaceae	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;vadinHA21	Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Lentimicrobiaceae	Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Sulfurospirillaceae	Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae	Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae	Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae	Bacteria;Firmicutes;Bacilli;RF39;uncultured bacterium	Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae	Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;uncultured bacterium	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae	Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium] coprostanoligenes group	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae	Bacteria;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;uncultured	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae	Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae	Phylotypes.Combined(109)
HN_5_7	1	15825	9	42	260	90	19310	20	4987	2	338	815	25	51	19	15	610	47	44	16	21	170	428	617	2606	173	3587	47	85	351	410	68	0	3	3	97	0	7	1631
HN_5_8	2	20406	23	72	652	120	3899	56	651	1	426	627	55	94	53	24	686	72	50	363	138	35	679	324	2744	85	7231	66	51	216	107	79	2	11	6	90	5	1	2288
HN_6_1	4	3247	236	176	4575	1796	634	144	501	16	4390	5968	214	418	4908	114	2876	251	155	330	415	130	1594	123	568	280	586	108	128	29	294	70	0	17	9	7	0	163	5701
HN_6_2	13268	7457	302	182	4479	1324	4091	153	1151	19	1946	6342	62	235	1876	116	632	2327	829	1024	1535	241	1127	66	790	196	614	178	40	20	74	287	0	246	13	4	0	10	2998
HN_6_3	28790	14264	95	14	832	244	61	46	1837	19	341	2525	6	94	164	27	96	248	84	66	58	1176	606	58	991	61	524	68	21	463	24	160	0	17	6	3	0	3	1193
HN_6_4	624	11889	87	135	682	84	52	14	331	2	665	875	17	91	55	56	286	134	193	157	583	210	2943	290	12601	114	10299	65	62	286	404	31	2	45	54	5	1	22	2068
HN_6_5	280	25514	45	190	776	325	65	27	1304	24	608	1381	125	103	204	26	178	151	35	34	97	8	2826	102	340	109	10535	54	68	187	39	37	0	1575	20	5	4	24	1957
HN_6_6	2819	23732	48	219	1276	344	191	34	1144	74	999	2787	184	146	273	19	393	263	59	22	67	15	2447	48	184	200	7954	109	122	78	109	31	1	1235	16	9	5	18	4069
HN_6_7	22456	23130	20	79	1408	262	367	170	2357	72	948	3829	100	173	100	16	256	290	47	22	71	29	3440	136	694	140	8228	93	71	768	98	38	7	185	23	62	14	7	3162
HN_6_8	13412	22932	493	121	3296	791	53	1687	2444	1392	3277	5045	219	289	206	37	543	2356	96	32	201	30	2227	145	466	136	2480	68	56	245	105	146	5	981	3	84	110	12	7856
LN_1_1	5	6252	21	25	638	122	16	3	75	35	313	691	10	118	11	0	102	49	108	499	493	51	266	25	134	21	105	123	16	16	168	0	369	9925	12314	27307	5917	5	14830
LN_1_2	1	876	82	17	2028	71	123	9	184	13	907	640	95	109	1	35	256	719	371	56	4	129	1487	176	605	169	677	175	59	17	148	19	2156	1438	12928	4361	22106	64	15134
LN_1_3	32	7944	52	58	4149	91	395	20	1009	56	5201	2433	285	162	2	121	497	1287	567	744	11	185	2171	310	1722	297	16313	319	82	45	703	524	999	257	55	7134	3589	58	3856
LN_2_1	35	1381	1466	74	5562	661	61	70	1226	55	1401	4743	178	740	14	530	761	702	514	305	13	315	1770	436	4725	303	3301	246	100	34	196	24	0	14977	1469	1189	7	319	10657
LN_2_2	2	6910	1275	77	4962	1631	891	176	311	123	2371	9789	106	3558	1053	136	1054	1250	704	161	4	337	8415	490	4153	545	2291	3692	196	50	148	50	86	593	2807	787	1020	763	7095
LN_2_3	28	5109	531	63	5700	380	572	82	430	68	3399	6216	1295	607	455	43	850	250	266	67	3	174	3365	318	8371	365	2973	1062	192	30	231	508	100	11	11	334	28	1673	3484
LN_2_4	612	2019	175	854	22311	516	1502	307	2160	34	7475	5867	822	359	107	3	595	165	160	532	5	127	4076	174	837	480	688	431	73	35	1557	856	25	166	41	21088	169	346	3801
LN_3_1	5	16012	1603	654	16185	3968	856	287	2340	648	10005	8205	186	1659	17	2510	3791	1142	625	460	240	1102	4771	519	2179	712	3684	587	221	202	856	109	4	644	1305	177	18	106	10777
LN_3_3	5	37302	33	35	1562	5	15	5	190	7	750	907	13	196	1	14	350	120	277	9448	475	64	273	5	355	20	9428	24	59	157	591	19	0	174	75	12	2	9	1143
LN_3_4	2	14603	41	28	1492	2	12	0	289	3	2955	1085	22	567	0	5	1241	886	3365	4860	89	968	2415	10	1081	180	17524	498	119	524	273	22	7	121	14	55	17	0	2781
LN_3_5	55	41445	87	24	4325	0	66	22	207	0	4620	2942	83	5576	1	13	618	246	337	2181	13	312	1211	6	74	32	374	54	14	7	35	52	2	47	17	4	4	6	1916
LN_3_6	1	246	2	1	58	0	8	0	12	0	126	27	0	79	0	2	27	0	8	77	0	3	31	0	1	0	21	0	1	0	1	2	6017	1883	159	5896	6040	0	48065
LN_4_1	115	2606	177	55	3906	368	101	7	192	43	924	4399	209	155	48	31	930	168	61	13	3	21	2471	192	3455	207	1008	135	17	48	101	64	512	8102	2325	13010	9622	136	6102
LN_5_1	72	7226	494	1395	11801	400	495	85	2115	46	8106	8720	275	1166	25	21	978	187	524	2107	3865	699	6492	449	1496	1016	2205	240	311	155	458	231	3	52	10	3	2	887	4634
LN_5_3	2	31063	9	12	668	160	36	19	345	17	162	753	0	31	10	624	1187	558	486	59	69	30	1332	106	1109	184	26136	102	65	83	0	18	14	23	169	4	107	3	2270
LN_5_4	0	13869	8	9	729	138	51	17	170	1	182	453	1	35	16	67	308	67	52	154	1	47	540	25	3323	74	39653	39	18	60	0	24	1	7	5	13	15	5	909
LN_5_5	0	18034	39	40	1874	377	135	52	360	54	446	884	5	51	65	1	637	131	45	369	3	39	1143	2	5092	133	36513	96	27	72	0	21	0	6	6	2	12	4	1633
LN_5_6	3	40767	5	2	2216	77	901	73	219	88	2493	13438	87	102	218	0	3443	26	8	658	2	6	1145	8	116	323	2785	51	63	36	1	30	12	12	4	47	53	161	6751
LN_5_7	1	18638	4	46	3279	15	1131	39	140	37	2523	3882	58	92	108	0	2560	215	46	637	4	1	767	5	88	601	5077	169	39	18	2	36	393	45	35	17786	942	142	8409
LN_5_8	2	14895	0	208	3250	259	147	37	302	14	801	739	2	48	17	38	572	88	18	4525	44	3	275	34	2645	125	7871	39	41	124	0	152	1755	338	14	21322	5412	0	6899
LN_6_1	11777	20782	78	61	1204	217	19634	211	1199	29	761	1619	128	200	38	1	164	57	31	42	89	86	713	53	13514	74	298	362	68	46	35	16	11	411	603	1806	335	38	1040
LN_6_2	156	42537	68	7	842	91	726	11	95	6	252	141	14	14	11	0	210	59	41	654	729	190	671	63	2134	129	435	97	13	220	200	4	71	1417	13439	1664	267	24	4244
LN_6_3	488	43027	48	135	451	60	17173	21	288	15	251	327	18	3	17	0	152	39	35	189	26	50	505	63	1780	85	581	62	27	262	76	44	26	1736	3572	8831	126	0	1802
LN_6_4	125	631	12	1	114	4	261	2	42	0	73	54	0	1	0	0	223	25	69	3257	43	67	3039	47	41	51	278	67	36	7	12	70	1985	1140	172	36793	4435	0	12162
LN_7_2	0	6909	1522	88	7984	458	1330	318	642	482	10017	9740	331	5418	515	16	5331	1564	797	95	7	166	6586	323	1336	766	13321	885	327	82	2643	118	6	173	22	6	8	208	10211
LN_7_3	9	7533	1067	77	9482	234	1117	139	911	257	7283	7842	230	615	57	59	1191	3421	479	352	2	222	2848	201	3029	651	10750	263	589	61	3326	1097	0	1657	41	67	5	181	3192
